,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,10953.28635446,189.76593595,1.77398729,0.41052179,0.67659483,0.67262931,0.66788793,0.67237069,0.00355928,1
1,11229.98143673,229.04005288,84.92351516,117.51402221,0.65943966,0.65568966,0.65202586,0.65571839,0.00302674,2
2,8833.46696488,107.63816967,2.07595269,0.47692207,0.55051724,0.54331897,0.54892241,0.54758621,0.00308684,3
